Location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
9614,0,2.849473684,5.423859649,7.75122807,9.63754386,10.8877193,11.94140351,12.82912281,13.36070175,13.60385965,13.72912281,13.91754386,14.03157895,14.18982456,14.27929825,14.39157895,14.47859649,14.60596491,14.73789474,14.81333333,
9610.4,0,2.847578947,5.383438596,7.585122807,9.346385965,10.56561404,11.68308772,12.60238596,13.16870175,13.45038596,13.6002807,13.78175439,13.89894737,14.04898246,14.14792982,14.26021053,14.33838596,14.43480702,14.54905263,14.62133333,
9608.6,0,2.846631579,5.36322807,7.502070175,9.200807018,10.4045614,11.55392982,12.48901754,13.07270175,13.37364912,13.53585965,13.71385965,13.83263158,13.9785614,14.08224561,14.19452632,14.2682807,14.34922807,14.45463158,14.52533333,
9606.8,0,2.845684211,5.343017544,7.419017544,9.05522807,10.24350877,11.42477193,12.37564912,12.97670175,13.29691228,13.4714386,13.64596491,13.76631579,13.90814035,14.0165614,14.12884211,14.19817544,14.26364912,14.36021053,14.42933333,
9603.2,0,2.843789474,5.302596491,7.252912281,8.764070175,9.921403509,11.16645614,12.14891228,12.78470175,13.1434386,13.34259649,13.51017544,13.63368421,13.76729825,13.88519298,13.99747368,14.05796491,14.09249123,14.17136842,14.23733333,
9601.4,0,2.842842105,5.282385965,7.169859649,8.618491228,9.760350877,11.03729825,12.03554386,12.68870175,13.06670175,13.27817544,13.4422807,13.56736842,13.69687719,13.81950877,13.93178947,13.98785965,14.00691228,14.07694737,14.14133333,
9599.6,0,2.838596491,5.268,7.119157895,8.531157895,9.669052632,10.96077193,11.96842105,12.63242105,13.02287719,13.24084211,13.40301754,13.52814035,13.65592982,13.78105263,13.89242105,13.94533333,13.95221053,14.01677193,14.08,
9597.8,0,2.822807018,5.274,7.181684211,8.647684211,9.821894737,11.06845614,12.06315789,12.71515789,13.09424561,13.29831579,13.46396491,13.5837193,13.71814035,13.83789474,13.94515789,13.99933333,14.00557895,14.07645614,14.14,
9596,0,2.807017544,5.28,7.244210526,8.764210526,9.974736842,11.17614035,12.15789474,12.79789474,13.16561404,13.35578947,13.52491228,13.63929825,13.78035088,13.89473684,13.99789474,14.05333333,14.05894737,14.13614035,14.2,
9594.2,0,2.79122807,5.286,7.306736842,8.880736842,10.12757895,11.28382456,12.25263158,12.88063158,13.23698246,13.41326316,13.58585965,13.69487719,13.8425614,13.95157895,14.05063158,14.10733333,14.11231579,14.19582456,14.26,
9590.6,0,2.759649123,5.298,7.431789474,9.113789474,10.43326316,11.49919298,12.44210526,13.04610526,13.3797193,13.52821053,13.70775439,13.80603509,13.96698246,14.06526316,14.15610526,14.21533333,14.21905263,14.31519298,14.38,
9588.8,0,2.743859649,5.304,7.494315789,9.230315789,10.58610526,11.60687719,12.53684211,13.12884211,13.45108772,13.58568421,13.76870175,13.86161404,14.02919298,14.12210526,14.20884211,14.26933333,14.27242105,14.37487719,14.44,
9587,0,2.728070175,5.31,7.556842105,9.346842105,10.73894737,11.7145614,12.63157895,13.21157895,13.52245614,13.64315789,13.82964912,13.91719298,14.09140351,14.17894737,14.26157895,14.32333333,14.32578947,14.4345614,14.5,
9583.4,0,2.696491228,5.322,7.681894737,9.579894737,11.04463158,11.92992982,12.82105263,13.37705263,13.66519298,13.75810526,13.95154386,14.02835088,14.21582456,14.29263158,14.36705263,14.43133333,14.43252632,14.55392982,14.62,
9581.6,0,2.680701754,5.328,7.744421053,9.696421053,11.19747368,12.03761404,12.91578947,13.45978947,13.7365614,13.81557895,14.01249123,14.08392982,14.27803509,14.34947368,14.41978947,14.48533333,14.48589474,14.61361404,14.68,
9579.8,0,2.662070175,5.323087719,7.785052632,9.778561404,11.30638596,12.10596491,12.96908772,13.50242105,13.76873684,13.83592982,14.0345614,14.10066667,14.29908772,14.36568421,14.4322807,14.49887719,14.49961404,14.63280702,14.7,
9578,0,2.620701754,5.230877193,7.650526316,9.585614035,11.06385965,11.85964912,12.69087719,13.22421053,13.48736842,13.55929825,13.74561404,13.80666667,13.99087719,14.05684211,14.12280702,14.18877193,14.19614035,14.32807018,14.4,
9576.2,0,2.579333333,5.138666667,7.516,9.392666667,10.82133333,11.61333333,12.41266667,12.946,13.206,13.28266667,13.45666667,13.51266667,13.68266667,13.748,13.81333333,13.87866667,13.89266667,14.02333333,14.1,
9574.4,0,2.537964912,5.04645614,7.381473684,9.199719298,10.57880702,11.36701754,12.13445614,12.66778947,12.92463158,13.00603509,13.1677193,13.21866667,13.37445614,13.43915789,13.50385965,13.5685614,13.58919298,13.71859649,13.8,
9572.6,0,2.496596491,4.954245614,7.246947368,9.00677193,10.3362807,11.12070175,11.85624561,12.38957895,12.64326316,12.72940351,12.87877193,12.92466667,13.06624561,13.13031579,13.19438596,13.25845614,13.2857193,13.41385965,13.5,
9567.2,0,2.372491228,4.677614035,6.843368421,8.427929825,9.608701754,10.38175439,11.02161404,11.55494737,11.79915789,11.89950877,12.01192982,12.04266667,12.14161404,12.20378947,12.26596491,12.32814035,12.37529825,12.49964912,12.6,
9560,0,2.207017544,4.30877193,6.305263158,7.656140351,8.638596491,9.396491228,9.90877193,10.44210526,10.67368421,10.79298246,10.85614035,10.86666667,10.90877193,10.96842105,11.02807018,11.0877193,11.16140351,11.28070175,11.4,
9556.4,0,2.264491228,4.442666667,6.504210526,7.966245614,9.051017544,9.843649123,10.4077193,10.95810526,11.21368421,11.33992982,11.41319298,11.44708772,11.5005614,11.57726316,11.63754386,11.69782456,11.76835088,11.8674386,11.988,
9552.8,0,2.321964912,4.576561404,6.703157895,8.276350877,9.463438596,10.29080702,10.90666667,11.47410526,11.75368421,11.88687719,11.97024561,12.02750877,12.09235088,12.18610526,12.24701754,12.30792982,12.37529825,12.45417544,12.576,
9549.2,0,2.379438596,4.71045614,6.902105263,8.58645614,9.875859649,10.73796491,11.40561404,11.99010526,12.29368421,12.43382456,12.52729825,12.60792982,12.68414035,12.79494737,12.85649123,12.91803509,12.98224561,13.04091228,13.164,
9547.4,0,2.408175439,4.777403509,7.001578947,8.741508772,10.08207018,10.96154386,11.65508772,12.24810526,12.56368421,12.70729825,12.80582456,12.89814035,12.98003509,13.09936842,13.16122807,13.22308772,13.2857193,13.3342807,13.458,
9545.6,0,2.436912281,4.844350877,7.101052632,8.896561404,10.2882807,11.18512281,11.9045614,12.50610526,12.83368421,12.98077193,13.08435088,13.18835088,13.27592982,13.40378947,13.46596491,13.52814035,13.58919298,13.62764912,13.752,
9542,0,2.494385965,4.978245614,7.3,9.206666667,10.70070175,11.6322807,12.40350877,13.02210526,13.37368421,13.5277193,13.64140351,13.76877193,13.8677193,14.01263158,14.0754386,14.13824561,14.19614035,14.21438596,14.34,
9540.2,0,2.523122807,5.045192982,7.399473684,9.361719298,10.90691228,11.85585965,12.65298246,13.28010526,13.64368421,13.80119298,13.91992982,14.05898246,14.16361404,14.31705263,14.38017544,14.44329825,14.49961404,14.50775439,14.634,
